様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
9F,共同研究室903,学校等,研究室,51,4.2,2.7,9F,共同研究室903,OHU-7,OHU-7,
9F,共同研究室904,学校等,研究室,24,4.2,2.7,9F,共同研究室904,OHU-7,OHU-7,
9F,共同研究室905,学校等,研究室,51,4.2,2.7,9F,共同研究室905,OHU-7,OHU-7,
9F,共同研究室906,学校等,研究室,25,4.2,2.7,9F,共同研究室906,OHU-7,OHU-7,
9F,共同研究室907,学校等,研究室,25,4.2,2.7,9F,共同研究室907,OHU-7,OHU-7,
9F,共同研究室908,学校等,研究室,25,4.2,2.7,9F,共同研究室908,OHU-7,OHU-7,
9F,共同研究室909,学校等,研究室,25,4.2,2.7,9F,共同研究室909,OHU-7,OHU-7,
9F,共同研究室910,学校等,研究室,25,4.2,2.7,9F,共同研究室910,OHU-7,OHU-7,
9F,共同研究室911,学校等,研究室,25,4.2,2.7,9F,共同研究室911,OHU-7,OHU-7,
9F,共同研究室912,学校等,研究室,22,4.2,2.7,9F,共同研究室912,OHU-7,OHU-7,
9F,ラウンジ6,学校等,教室（大学）,14.3,4.2,2.7,9F,ラウンジ6,ACP-D3a,ACP-D3a,
9F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,9F,ラウンジ6流し,ACP-D3a,ACP-D3a,
9F,非EVロビー兼用付室,学校等,教室（大学）,25,4.2,2.7,9F,非EVロビー兼用付室,ACP-EV4a,ACP-EV4a,
10F,院生用共同研究室1001,学校等,研究室,25,4.2,2.7,10F,院生用共同研究室1001,OHU-7,OHU-7,
10F,院生用共同研究室1002,学校等,研究室,25,4.2,2.7,10F,院生用共同研究室1002,OHU-7,OHU-7,
10F,院生用共同研究室1003,学校等,研究室,25,4.2,2.7,10F,院生用共同研究室1003,OHU-7,OHU-7,
10F,院生用共同研究室1004,学校等,研究室,25,4.2,2.7,10F,院生用共同研究室1004,OHU-7,OHU-7,
10F,院生用共同研究室1005,学校等,研究室,25,4.2,2.7,10F,院生用共同研究室1005,OHU-7,OHU-7,
10F,大学院共同演習室1006,学校等,研究室,50,4.2,2.7,10F,大学院共同演習室1006,OHU-7,OHU-7,
10F,共同研究室1007,学校等,研究室,50,4.2,2.7,10F,共同研究室1007,OHU-7,OHU-7,
10F,共同研究室1008,学校等,研究室,25,4.2,2.7,10F,共同研究室1008,OHU-7,OHU-7,
10F,共同研究室1009,学校等,研究室,25,4.2,2.7,10F,共同研究室1009,OHU-7,OHU-7,
10F,共同研究室1010,学校等,研究室,25,4.2,2.7,10F,共同研究室1010,OHU-7,OHU-7,
10F,共同研究室1011,学校等,研究室,25,4.2,2.7,10F,共同研究室1011,OHU-7,OHU-7,
10F,共同研究室1012,学校等,研究室,25,4.2,2.7,10F,共同研究室1012,OHU-7,OHU-7,
10F,院生用共同研究室1013,学校等,研究室,25,4.2,2.7,10F,院生用共同研究室1013,OHU-7,OHU-7,
10F,院生用共同研究室1014,学校等,研究室,22,4.2,2.7,10F,院生用共同研究室1014,OHU-7,OHU-7,
10F,ミーティングブース1,学校等,事務室,60,8.4,6.9,10F,ミーティングブース1,OHU-7,OHU-7,
10F,ラウンジ6,学校等,教室（大学）,14.3,4.2,2.7,10F,ラウンジ6,ACP-D3a,ACP-D3a,
10F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,10F,ラウンジ6流し,ACP-D3a,ACP-D3a,
10F,非EVロビー兼用付室,学校等,教室（大学）,25,4.2,2.7,10F,非EVロビー兼用付室,ACP-EV4a,ACP-EV4a,
11F,院生共同研究室1101,学校等,研究室,125,4.2,2.7,11F,院生共同研究室1101,OHU-7,OHU-7,
11F,大学院共同演習室1102,学校等,研究室,50,4.2,2.7,11F,大学院共同演習室1102,OHU-7,OHU-7,
11F,院生用共同演習室1103,学校等,研究室,51,4.2,2.7,11F,院生用共同演習室1103,OHU-7,OHU-7,
11F,院生用共同演習室1104,学校等,研究室,25,4.2,2.7,11F,院生用共同演習室1104,OHU-7,OHU-7,
11F,院生用共同演習室1105,学校等,研究室,25,4.2,2.7,11F,院生用共同演習室1105,OHU-7,OHU-7,
11F,院生用共同演習室1106,学校等,研究室,25,4.2,2.7,11F,院生用共同演習室1106,OHU-7,OHU-7,
11F,院生用共同演習室1107,学校等,研究室,25,4.2,2.7,11F,院生用共同演習室1107,OHU-7,OHU-7,
11F,院生用共同演習室1108,学校等,研究室,25,4.2,2.7,11F,院生用共同演習室1108,OHU-7,OHU-7,
11F,院生用共同演習室1109,学校等,研究室,25,4.2,2.7,11F,院生用共同演習室1109,OHU-7,OHU-7,
11F,院生用共同演習室1110,学校等,研究室,22,4.2,2.7,11F,院生用共同演習室1110,OHU-7,OHU-7,
11F,ラウンジ6,学校等,教室（大学）,14.3,4.2,2.7,11F,ラウンジ6,ACP-D3a,ACP-D3a,
11F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,11F,ラウンジ6流し,ACP-D3a,ACP-D3a,
11F,非EVロビー兼用付室,学校等,教室（大学）,25,4.2,2.7,11F,非EVロビー兼用付室,ACP-EV4a,ACP-EV4a,
12F,院生共同研究室1201,学校等,研究室,125,4.2,2.7,12F,院生共同研究室1201,OHU-7,OHU-7,
12F,大学院共同演習室1202,学校等,研究室,50,4.2,2.7,12F,大学院共同演習室1202,OHU-7,OHU-7,
12F,院生用共同研究室1203,学校等,研究室,51,4.2,2.7,12F,院生用共同研究室1203,OHU-7,OHU-7,
12F,院生用共同研究室1204,学校等,研究室,30,4.2,2.7,12F,院生用共同研究室1204,OHU-7,OHU-7,
12F,ディスカッションコーナー3,学校等,事務室,25,4.2,2.7,12F,ディスカッションコーナー3,OHU-7,OHU-7,
12F,院生用共同研究室1205,学校等,研究室,25,4.2,2.7,12F,院生用共同研究室1205,OHU-7,OHU-7,
12F,院生用共同研究室1206,学校等,研究室,25,4.2,2.7,12F,院生用共同研究室1206,OHU-7,OHU-7,
12F,院生用共同研究室1207,学校等,研究室,25,4.2,2.7,12F,院生用共同研究室1207,OHU-7,OHU-7,
12F,院生用共同研究室1208,学校等,研究室,22,4.2,2.7,12F,院生用共同研究室1208,OHU-7,OHU-7,
