様式 4-1. (給湯)給湯対象室入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,①,①,①,②,③,④,,,,
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称,,,,
,,,,,（給湯栓設置箇所）,,,,,,
,,,,[㎡],,,,,,,
(転記),(転記),(転記),(転記),(転記),,(選択),(選択),,,,
,,,,,,,,,,,
,,,,,,有,EHW-1-7b,,,,
,,,,,,有,EHW-2-7a,,,,
7F,ディスカッションコーナー2,学校等,事務室,14,,有,EHW-1-7a,,,,
,,,,,,有,EHW-1-7b,,,,
,,,,,,有,EHW-2-7a,,,,
7F,会議室709,学校等,事務室,46,,有,EHW-1-7a,,,,
,,,,,,有,EHW-1-7b,,,,
,,,,,,有,EHW-2-7a,,,,
8F,共同研究室801,学校等,研究室,48,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室802,学校等,研究室,51,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室803,学校等,研究室,51,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室804,学校等,研究室,24,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室805,学校等,研究室,51,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室806,学校等,研究室,25,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室807,学校等,研究室,25,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室808,学校等,研究室,25,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室809,学校等,研究室,25,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室810,学校等,研究室,25,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室811,学校等,研究室,25,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
8F,共同研究室812,学校等,研究室,22,,有,EHW-1-8a,,,,
,,,,,,有,EHW-1-8b,,,,
,,,,,,有,EHW-2-8a,,,,
9F,共同研究室901,学校等,研究室,48,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室902,学校等,研究室,51,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室903,学校等,研究室,51,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室904,学校等,研究室,24,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室905,学校等,研究室,51,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室906,学校等,研究室,25,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室907,学校等,研究室,25,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室908,学校等,研究室,25,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室909,学校等,研究室,25,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室910,学校等,研究室,25,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室911,学校等,研究室,25,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
9F,共同研究室912,学校等,研究室,22,,有,EHW-1-9a,,,,
,,,,,,有,EHW-1-9b,,,,
,,,,,,有,EHW-2-9a,,,,
10F,院生用共同研究室1001,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,院生用共同研究室1002,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,院生用共同研究室1003,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,院生用共同研究室1004,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,院生用共同研究室1005,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,大学院共同演習室1006,学校等,研究室,50,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,共同研究室1007,学校等,研究室,51,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,共同研究室1008,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,共同研究室1009,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,共同研究室1010,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,共同研究室1011,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,共同研究室1012,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,院生用共同研究室1013,学校等,研究室,25,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
10F,院生用共同研究室1014,学校等,研究室,22,,有,EHW-1-10a,,,,
,,,,,,有,EHW-1-10b,,,,
,,,,,,有,EHW-2-10a,,,,
11F,院生共同研究室1101,学校等,研究室,125,,有,EHW-1-11a,,,,
