様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
11F,院生共同研究室1101,学校等,研究室,125,4.2,2.7,■,,■,■,
11F,大学院共同演習室1102,学校等,研究室,50,4.2,2.7,■,,■,■,
11F,院生用共同演習室1103,学校等,研究室,51,4.2,2.7,■,,■,■,
11F,院生用共同演習室1104,学校等,研究室,25,4.2,2.7,■,,■,■,
11F,院生用共同演習室1105,学校等,研究室,25,4.2,2.7,■,,■,■,
11F,院生用共同演習室1106,学校等,研究室,25,4.2,2.7,■,,■,■,
11F,院生用共同演習室1107,学校等,研究室,25,4.2,2.7,■,,■,■,
11F,院生用共同演習室1108,学校等,研究室,25,4.2,2.7,■,,■,■,
11F,院生用共同演習室1109,学校等,研究室,25,4.2,2.7,■,,■,■,
11F,院生用共同演習室1110,学校等,研究室,22,4.2,2.7,■,,■,■,
11F,倉庫3,学校等,湯沸室等,6,4.2,2.7,,■,■,,
11F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.2,2.7,,■,■,,
11F,ラウンジ6,学校等,大学教室,14.3,4.2,2.7,■,,■,,
11F,ラウンジ6流し,学校等,事務室,0.9,4.2,2.7,■,,■,,
11F,非EVロビー兼用付室,学校等,大学教室,25,4.2,2.7,■,,■,,
11F,男WC4,学校等,便所,18,4.2,2.4,,■,■,,
11F,女WC4,学校等,便所,22,4.2,2.4,,■,■,,
12F,院生共同研究室1201,学校等,研究室,125,4.2,2.7,■,,■,■,
12F,大学院共同演習室1202,学校等,研究室,50,4.2,2.7,■,,■,■,
12F,院生用共同研究室1203,学校等,研究室,51,4.2,2.7,■,,■,■,
12F,院生用共同研究室1204,学校等,研究室,30,4.2,2.7,■,,■,■,
12F,ディスカッションコーナー3,学校等,事務室,25,4.2,2.7,■,,■,■,
12F,院生用共同研究室1205,学校等,研究室,25,4.2,2.7,■,,■,■,
12F,院生用共同研究室1206,学校等,研究室,25,4.2,2.7,■,,■,■,
12F,院生用共同研究室1207,学校等,研究室,25,4.2,2.7,■,,■,■,
12F,院生用共同研究室1208,学校等,研究室,22,4.2,2.7,■,,■,■,
