ブラインド内側一般窓の熱性能,,,,熱貫流率[W/m2K],,日射熱取得率[-],,,
No.,タイプ,ガラス品種,板厚[ミリ],ガラスのみ,ブラインドあり,ガラスのみ,明色ブラインド,中間色ブラインド,暗色ブラインド
553,複層（アルゴン層6mm）,可視光透過率40%+透明,10,2.89,2.39,0.362,0.257,0.272,0.286
554,複層（アルゴン層6mm）,可視光透過率40%+透明,12,2.85,2.37,0.351,0.252,0.265,0.278
555,複層（アルゴン層6mm）,可視光透過率30%+透明,6,2.88,2.39,0.296,0.213,0.225,0.235
556,複層（アルゴン層6mm）,可視光透過率30%+透明,8,2.85,2.37,0.288,0.209,0.22,0.23
557,複層（アルゴン層6mm）,可視光透過率30%+透明,10,2.82,2.35,0.28,0.206,0.216,0.225
558,複層（アルゴン層6mm）,可視光透過率30%+透明,12,2.79,2.32,0.273,0.203,0.211,0.219
559,複層（アルゴン層6mm）,可視光透過率20%+透明,6,2.76,2.3,0.228,0.171,0.178,0.185
560,複層（アルゴン層6mm）,可視光透過率20%+透明,8,2.73,2.28,0.223,0.169,0.176,0.182
561,複層（アルゴン層6mm）,可視光透過率20%+透明,10,2.7,2.26,0.218,0.167,0.173,0.179
562,複層（アルゴン層6mm）,可視光透過率20%+透明,12,2.68,2.24,0.214,0.165,0.171,0.176
563,複層（アルゴン層6mm）,可視光透過率8%+透明,6,2.6,2.18,0.141,0.111,0.115,0.118
564,複層（アルゴン層6mm）,可視光透過率8%+透明,8,2.57,2.16,0.141,0.112,0.115,0.118
565,複層（アルゴン層6mm）,可視光透過率8%+透明,10,2.54,2.14,0.141,0.113,0.115,0.118
566,複層（アルゴン層6mm）,可視光透過率8%+透明,12,2.52,2.12,0.141,0.113,0.116,0.118
581,複層（アルゴン層6mm）,セラミック印刷(白面積30%）+透明,6,3.03,2.5,0.591,0.385,0.421,0.454
582,複層（アルゴン層6mm）,セラミック印刷(白面積30%）+透明,8,3,2.47,0.566,0.375,0.407,0.437
583,複層（アルゴン層6mm）,セラミック印刷(白面積30%）+透明,10,2.96,2.45,0.542,0.365,0.394,0.421
584,複層（アルゴン層6mm）,セラミック印刷(白面積30%）+透明,12,2.93,2.42,0.521,0.356,0.382,0.406
585,複層（アルゴン層6mm）,セラミック印刷(白面積50%）+透明,6,3.03,2.5,0.496,0.335,0.362,0.386
586,複層（アルゴン層6mm）,セラミック印刷(白面積50%）+透明,8,3,2.47,0.476,0.326,0.35,0.372
587,複層（アルゴン層6mm）,セラミック印刷(白面積50%）+透明,10,2.96,2.45,0.457,0.318,0.339,0.359
588,複層（アルゴン層6mm）,セラミック印刷(白面積50%）+透明,12,2.93,2.42,0.44,0.31,0.329,0.347
589,複層（アルゴン層6mm）,セラミック印刷(白面積70%）+透明,6,3.03,2.5,0.399,0.28,0.299,0.315
590,複層（アルゴン層6mm）,セラミック印刷(白面積70%）+透明,8,3,2.47,0.385,0.273,0.29,0.305
591,複層（アルゴン層6mm）,セラミック印刷(白面積70%）+透明,10,2.96,2.45,0.371,0.267,0.282,0.295
592,複層（アルゴン層6mm）,セラミック印刷(白面積70%）+透明,12,2.93,2.42,0.359,0.261,0.274,0.286
593,複層（アルゴン層6mm）,セラミック印刷(白面積100%）+透明,6,3.03,2.5,0.251,0.189,0.196,0.203
594,複層（アルゴン層6mm）,セラミック印刷(白面積100%）+透明,8,3,2.47,0.245,0.186,0.193,0.199
595,複層（アルゴン層6mm）,セラミック印刷(白面積100%）+透明,10,2.96,2.45,0.24,0.183,0.189,0.195
596,複層（アルゴン層6mm）,セラミック印刷(白面積100%）+透明,12,2.93,2.42,0.235,0.18,0.186,0.191
601,複層（アルゴン層6mm）,Low-E（高日射遮蔽型）+透明,6,2.02,1.73,0.307,0.235,0.247,0.258
602,複層（アルゴン層6mm）,Low-E（高日射遮蔽型）+透明,8,2.01,1.72,0.304,0.235,0.246,0.256
603,複層（アルゴン層6mm）,Low-E（高日射遮蔽型）+透明,10,1.99,1.71,0.3,0.234,0.244,0.253
604,複層（アルゴン層6mm）,Low-E（高日射遮蔽型）+透明,12,1.97,1.7,0.296,0.233,0.242,0.25
605,複層（アルゴン層6mm）,Low-E（日射遮蔽型）+透明,6,2.07,1.77,0.411,0.299,0.32,0.338
606,複層（アルゴン層6mm）,Low-E（日射遮蔽型）+透明,8,2.05,1.76,0.404,0.298,0.317,0.334
607,複層（アルゴン層6mm）,Low-E（日射遮蔽型）+透明,10,2.04,1.75,0.396,0.296,0.313,0.329
608,複層（アルゴン層6mm）,Low-E（日射遮蔽型）+透明,12,2.02,1.73,0.385,0.291,0.307,0.32
609,複層（アルゴン層6mm）,Low-E（日射取得型）+透明,6,2.14,1.83,0.563,0.385,0.42,0.452
610,複層（アルゴン層6mm）,Low-E（日射取得型）+透明,8,2.12,1.81,0.544,0.379,0.411,0.439
611,複層（アルゴン層6mm）,Low-E（日射取得型）+透明,10,2.1,1.8,0.524,0.372,0.4,0.426
612,複層（アルゴン層6mm）,Low-E（日射取得型）+透明,12,2.09,1.79,0.507,0.366,0.391,0.413
613,複層（アルゴン層6mm）,Low-E（高日射取得型）+透明,6,2.23,1.9,0.635,0.418,0.461,0.501
614,複層（アルゴン層6mm）,Low-E（高日射取得型）+透明,8,2.21,1.88,0.609,0.41,0.449,0.484
