様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,照明計算用室の間口,照明計算用室の奥行,室面積,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考欄
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,(任意の文字列),(選択),(選択),[m],[m],[m],[m],[㎡],(選択),(選択),(選択),(選択),
(任意),(必須),(必須),(必須),(必須),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(任意)
4F,ﾂｲﾝ(E)UB,ホテル等,客室(洗面）,3.15,2.4,1.45,1.87,2.71,,,,,
4F,ｼﾝｸﾞﾙ(E2),ホテル等,客室,3.15,2.4,,,13,,,,,
4F,ｼﾝｸﾞﾙ(E2)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
4F,ｼﾝｸﾞﾙ(E3),ホテル等,客室,3.15,2.4,,,13,,,,,
4F,ｼﾝｸﾞﾙ(E3)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
4F,ｼﾝｸﾞﾙ(SE),ホテル等,客室,3.15,2.4,,,14,,,,,
4F,ｼﾝｸﾞﾙ(SE)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
4F,PS(S),ホテル等,電気・機械室（標準）,3.15,3.15,1.45,0.55,0.8,,,,,
4F,PS(中央5),ホテル等,電気・機械室（標準）,3.15,3.15,2.1,0.55,1.16,,,,,
4F,PS(中央4),ホテル等,電気・機械室（標準）,3.15,3.15,1.15,0.55,0.63,,,,,
4F,PS(中央3),ホテル等,電気・機械室（標準）,3.15,3.15,1.15,0.55,0.63,,,,,
