åé,ì˙,ójì˙,ïΩãœäOãCâ∑[Åé],,,ïΩãœê‚ëŒéºìx[g/kg'],,,íºíBì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÅE0.89Ç≈èúÇµÇƒäÓèÄâªçœÇ›),,,,,,,,,ìVãÛÅEîΩéÀì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÇΩÇæÇµ0.808ÇÕèÊÇ∂ÇƒÇ¢Ç»Ç¢),,ñÈä‘ï˙éÀ[Wh/m2],,
,,,ëSì˙,7Å`18éû,19Å`6éû,ëSì˙,7Å`18éû,19Å`6éû,S,SW,W,NW,N,NE,E,SE,êÖïΩ,âîíº,êÖïΩ,âîíº,êÖïΩ
4,16,5,12.0,14.6,9.5,6.7,6.9,6.6,343.3,250.6,199.5,72.1,2.5,55.2,271.9,417.7,865.7,1435.6,2529.5,489.0,978.1
4,17,6,11.3,14.4,8.2,4.7,4.6,4.9,1542.7,2138.5,1942.4,835.4,15.6,988.1,2223.4,2354.4,4634.9,1223.8,1782.9,1008.3,2016.6
4,18,7,9.9,11.0,8.9,5.8,6.0,5.5,28.1,287.3,377.0,227.6,2.6,32.8,57.0,47.8,192.8,932.8,1675.9,579.2,1158.3
4,19,1,11.5,14.3,8.7,5.4,5.1,5.7,1189.1,1206.1,945.1,363.0,15.9,873.6,1932.9,2013.8,3625.1,1455.5,2302.7,976.3,1952.7
4,20,2,12.2,13.7,10.6,6.7,7.1,6.3,176.9,722.7,805.3,402.1,7.9,39.9,59.6,65.7,700.5,1170.1,2059.7,675.7,1351.4
4,21,3,13.0,17.2,8.9,5.3,5.2,5.4,1396.5,2166.3,2072.7,939.5,24.2,993.6,2159.0,2219.0,4763.2,1250.5,1820.1,1167.7,2335.3
4,22,4,14.7,16.6,12.9,7.7,7.8,7.6,254.2,152.0,99.0,58.2,5.0,37.8,189.7,303.9,707.3,1335.2,2362.1,508.8,1017.6
4,23,5,15.6,16.9,14.3,9.0,9.2,8.8,406.7,1206.9,1259.4,606.6,14.2,6.8,27.9,99.0,1459.9,1314.1,2250.4,575.7,1151.4
4,24,6,13.3,15.0,11.6,6.4,6.6,6.2,76.7,605.4,823.1,515.8,24.1,45.8,84.4,77.5,464.6,1108.9,1969.0,707.1,1414.2
4,25,7,13.4,17.0,9.7,5.1,4.8,5.5,1106.0,1847.0,1841.5,878.4,25.2,622.3,1518.8,1652.7,4214.7,1414.1,2173.6,1013.6,2027.1
4,26,1,15.5,18.3,12.7,8.4,8.7,8.1,468.1,342.7,193.7,70.7,6.6,274.9,668.1,753.2,1619.6,1544.3,2657.5,619.9,1239.8
4,27,2,13.3,13.8,12.8,8.6,8.7,8.5,4.6,33.9,50.1,33.7,3.7,22.9,33.5,22.7,31.8,634.5,1150.2,281.4,562.9
4,28,3,13.2,15.7,10.7,5.8,6.0,5.6,826.4,1170.9,1041.5,405.7,11.4,334.6,940.2,1097.4,3217.3,1602.5,2614.4,849.6,1699.1
4,29,0,14.3,18.0,10.6,5.7,5.6,5.7,1118.3,2073.0,2166.5,1093.6,55.7,1123.8,2221.5,2108.0,4977.9,1293.2,1878.2,1210.7,2421.4
4,30,5,15.5,19.6,11.3,5.4,5.5,5.2,959.4,1740.5,1779.4,865.4,30.2,887.3,1825.7,1773.5,4392.9,1447.4,2216.7,1221.2,2442.3
5,1,6,13.2,14.8,11.5,5.5,5.9,5.1,48.0,42.3,39.9,21.7,4.9,117.8,221.8,190.3,263.4,1216.9,2187.6,564.1,1128.1
5,2,7,12.2,15.0,9.4,4.9,5.3,4.6,658.7,481.8,541.0,424.7,85.8,880.5,1769.4,1715.1,2872.0,1275.1,2045.7,935.6,1871.3
5,3,1,9.4,12.6,6.3,3.6,3.4,3.7,387.0,702.0,909.4,598.5,93.5,922.6,1684.4,1415.3,2242.9,1769.9,3001.7,985.1,1970.1
5,4,0,9.9,12.9,6.9,3.6,3.5,3.8,953.3,1732.2,1814.5,918.3,123.4,1286.1,2314.4,2033.6,4866.2,1362.5,2017.8,1286.9,2573.7
5,5,0,13.0,16.0,10.1,4.6,4.0,5.1,735.1,1304.8,1459.0,823.0,96.9,1048.4,1946.7,1755.8,3945.3,1573.7,2487.7,1225.2,2450.4
5,6,0,15.1,18.9,11.4,4.5,4.0,5.0,787.9,1078.1,1004.2,444.6,111.7,1310.0,2296.5,1952.3,4161.3,1516.3,2365.5,1124.0,2248.1
5,7,5,16.3,19.2,13.4,6.5,6.4,6.6,127.8,695.4,978.8,652.7,141.5,1125.2,1623.0,1077.1,1436.9,1668.6,2890.1,917.6,1835.2
5,8,6,17.3,19.7,15.0,8.8,8.3,9.3,246.0,207.6,152.1,50.6,101.9,1078.7,1642.7,1182.5,1590.3,1702.3,2942.4,693.7,1387.5
5,9,7,16.6,17.0,16.2,10.9,11.0,10.8,12.3,1.0,2.2,2.0,.5,12.0,39.8,41.5,67.2,354.0,637.3,249.5,498.9
5,10,1,18.8,21.3,16.3,8.3,7.6,9.0,366.6,213.8,181.1,112.7,54.1,778.3,1463.2,1275.5,2189.3,1625.3,2749.3,756.0,1511.9
5,11,2,19.9,23.5,16.2,7.9,7.5,8.3,542.6,743.8,667.3,265.5,67.1,844.3,1496.4,1288.9,3201.3,1710.6,2811.0,894.3,1788.7
5,12,3,17.5,19.1,16.0,9.2,9.7,8.6,7.2,3.4,4.9,3.4,13.4,115.5,162.8,104.5,90.7,972.2,1758.5,332.6,665.2
5,13,4,18.6,21.1,16.0,8.9,8.8,9.0,326.6,475.5,487.6,259.9,54.0,732.4,1291.3,1063.7,2268.0,1828.2,3111.0,686.8,1373.5
5,14,5,19.6,22.4,16.8,7.7,8.0,7.4,450.7,738.8,750.5,362.6,82.4,701.5,1231.9,1049.4,2896.1,1814.7,3028.5,891.4,1782.9
5,15,6,18.4,20.6,16.2,9.9,10.1,9.7,60.2,66.9,88.5,61.9,56.6,475.3,711.7,500.7,651.0,1447.3,2569.1,414.6,829.2
5,16,7,17.8,18.3,17.3,11.7,12.0,11.5,18.0,31.8,24.3,5.3,.2,2.6,11.9,13.0,99.5,511.6,921.1,201.8,403.6
5,17,1,18.6,20.4,16.8,7.4,6.9,7.9,304.4,443.8,612.7,402.1,61.9,536.1,1181.9,1099.8,2426.3,1681.6,2830.7,698.4,1396.8
5,18,2,19.3,23.2,15.5,7.0,6.6,7.5,550.3,1236.5,1439.7,805.7,178.5,1295.3,2090.8,1623.9,4381.5,1599.1,2494.6,1192.7,2385.3
