様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭,
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御,
,,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択),
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,1,,,,,,,
2F,男WC3,学校等,トイレ,22.5,,2.4,,,1,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
2F,女WC3,学校等,トイレ,20.25,,2.4,,,0.9,ダウンライト,aL141,16,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
2F,多目的WC3,学校等,トイレ,5,,2.4,,,0.5,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
3F,演習室301,学校等,教室（大学）,24,,2.7,3.2,7.8,,埋込下面開放,A322,42,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
3F,演習室302,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,埋込下面開放,A322,42,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
3F,演習室303,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,埋込下面開放,A322,42,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
3F,演習室304,学校等,教室（大学）,74.88,,2.7,3.2,7.8,,埋込下面開放,A322,42,27,,,,,,,
,,,,,,,,,,黒板灯,H321,35,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,6,,,,,,,
3F,演習室305,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,埋込下面開放,A322,42,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
3F,演習室306,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,埋込下面開放,A322,42,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
3F,演習室307,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,埋込下面開放,A322,42,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
3F,演習室308,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,埋込下面開放,A322,42,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
3F,演習室309,学校等,教室（大学）,24.96,,2.7,3.2,7.8,,埋込下面開放,A322,42,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
3F,演習室310,学校等,教室（大学）,24.18,,2.7,3.1,7.8,,埋込下面開放,A322,42,18,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
3F,演習室311,学校等,教室（大学）,26.52,,2.7,3.4,7.8,,埋込下面開放,A322,42,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
3F,演習室312,学校等,教室（大学）,26.52,,2.7,3.4,7.8,,埋込下面開放,A322,42,9,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
3F,講義室313,学校等,教室（大学）,155.9,,2.7,13.92,11.2,,埋込下面開放,A322,42,52,,,,,,,
,,,,,,,,,,黒板灯,H321,35,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,6,,,,,,,
3F,演習室314,学校等,教室（大学）,78.4,,2.7,7,11.2,,埋込下面開放,A322,42,30,,,,,,,
,,,,,,,,,,黒板灯,H321,35,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
3F,倉庫3,学校等,湯沸室等,10.5,,2.7,,,0.6,埋込下面開放,A321,42,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
3F,ゴミコーナー1,学校等,厨芥置き場等,6,,2.7,,,0.4,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
3F,給湯2,学校等,湯沸室等,3.75,,2.7,,,0.3,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,流し元灯,N21,24,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
3F,倉庫4,学校等,湯沸室等,10.5,,2.7,,,0.6,埋込下面開放,A322,42,1,,,,,,,
,,,,,,,,,,埋込下面開放,A321,42,1,,,,,,,
3F,学生用コピー室,学校等,コピー室等,7,,2.7,2.5,2.8,,埋込下面開放,A321,42,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
3F,非EVロビー兼用付室,学校等,教室（大学）,25.5,,2.7,,,0.8,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,1,,,,,,,
3F,ラウンジ3,学校等,教室（大学）,35,,2.7,,,1.1,ダウンライト,aL141,16,26,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,51,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,5,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,2,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb21E,4,1,,,,,,,
3F,男WC3,学校等,トイレ,22.5,,2.4,,,1,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
3F,女WC3,学校等,トイレ,20.25,,2.4,,,0.9,ダウンライト,aL141,16,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
3F,多目的WC3,学校等,トイレ,5,,2.4,,,0.5,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
