様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,
①,①,①,①,①,①,①,②,②,③,④
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理
,,,,,,,,,,
,,,,[㎡],[m],[m],,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記)
,,,,,,,,,,
5F,客室S07,ホテル等,客室,12.6,3.8,2.6,5F,客室S07,FCU3-507,OHU-5
5F,客室S08,ホテル等,客室,12.6,3.8,2.6,5F,客室S08,FCU3-508,OHU-5
5F,客室S09,ホテル等,客室,12.6,3.8,2.6,5F,客室S09,FCU3-509,OHU-5
5F,客室S10,ホテル等,客室,12.6,3.8,2.6,5F,客室S10,FCU3-510,OHU-5
5F,客室S11,ホテル等,客室,12.6,3.8,2.6,5F,客室S11,FCU3-511,OHU-5
5F,客室S12,ホテル等,客室,12.6,3.8,2.6,5F,客室S12,FCU3-512,OHU-5
5F,客室S13,ホテル等,客室,12.6,3.8,2.6,5F,客室S13,FCU3-513,OHU-5
5F,客室S14,ホテル等,客室,12.6,3.8,2.6,5F,客室S14,FCU3-514,OHU-5
5F,客室S15,ホテル等,客室,12.6,3.8,2.6,5F,客室S15,FCU3-515,OHU-5
5F,客室S16,ホテル等,客室,12.6,3.8,2.6,5F,客室S16,FCU3-516,OHU-5
5F,客室S17,ホテル等,客室,12.6,3.8,2.6,5F,客室S17,FCU3-517,OHU-5
5F,客室S18,ホテル等,客室,12.6,3.8,2.6,5F,客室S18,FCU3-518,OHU-5
5F,客室S19,ホテル等,客室,12.6,3.8,2.6,5F,客室S19,FCU3-519,OHU-5
5F,客室S20,ホテル等,客室,12.6,3.8,2.6,5F,客室S20,FCU3-520,OHU-5
5F,客室S21,ホテル等,客室,12.6,3.8,2.6,5F,客室S21,FCU3-521,OHU-5
5F,客室S22,ホテル等,客室,12.6,3.8,2.6,5F,客室S22,FCU3-522,OHU-5
5F,客室S23,ホテル等,客室,12.6,3.8,2.6,5F,客室S23,FCU3-523,OHU-5
5F,客室S24,ホテル等,客室,12.6,3.8,2.6,5F,客室S24,FCU3-524,OHU-5
5F,客室W01,ホテル等,客室,23.4,3.8,2.6,5F,客室W01,FCU4-501,OHU-5
5F,客室W02,ホテル等,客室,23.4,3.8,2.6,5F,客室W02,FCU4-502,OHU-5
5F,客室W03,ホテル等,客室,23.4,3.8,2.6,5F,客室W03,FCU4-503,OHU-5
5F,客室W04,ホテル等,客室,23.4,3.8,2.6,5F,客室W04,FCU4-504,OHU-5
5F,客室W05,ホテル等,客室,23.4,3.8,2.6,5F,客室W05,FCU4-505,OHU-5
5F,客室W06,ホテル等,客室,23.4,3.8,2.6,5F,客室W06,FCU4-506,OHU-5
5F,客室W07,ホテル等,客室,23.4,3.8,2.6,5F,客室W07,FCU4-507,OHU-5
5F,客室W08,ホテル等,客室,23.4,3.8,2.6,5F,客室W08,FCU4-508,OHU-5
5F,客室W09,ホテル等,客室,23.4,3.8,2.6,5F,客室W09,FCU4-509,OHU-5
5F,客室W10,ホテル等,客室,23.4,3.8,2.6,5F,客室W10,FCU4-510,OHU-5
5F,客室W11,ホテル等,客室,23.4,3.8,2.6,5F,客室W11,FCU4-511,OHU-5
5F,客室W12,ホテル等,客室,23.4,3.8,2.6,5F,客室W12,FCU4-512,OHU-5
5F,客室W13,ホテル等,客室,23.4,3.8,2.6,5F,客室W13,FCU4-513,OHU-5
5F,客室W14,ホテル等,客室,23.4,3.8,2.6,5F,客室W14,FCU4-514,OHU-5
5F,客室W15,ホテル等,客室,23.4,3.8,2.6,5F,客室W15,FCU4-515,OHU-5
5F,客室W16,ホテル等,客室,23.4,3.8,2.6,5F,客室W16,FCU4-516,OHU-5
5F,客室W17,ホテル等,客室,23.4,3.8,2.6,5F,客室W17,FCU4-517,OHU-5
5F,客室W18,ホテル等,客室,23.4,3.8,2.6,5F,客室W18,FCU4-518,OHU-5
5F,客室W19,ホテル等,客室,23.4,3.8,2.6,5F,客室W19,FCU4-519,OHU-5
5F,客室W20,ホテル等,客室,23.4,3.8,2.6,5F,客室W20,FCU4-520,OHU-5
6F,EVホール,ホテル等,終日利用される廊下,24,3.8,2.6,6F,EVホール,FCU2-6,OHU-6
6F,リネン室,ホテル等,更衣室又は倉庫,21,3.8,2.4,6F,リネン室,FCU1-6,OHU-6
6F,客室S01,ホテル等,客室,12.6,3.8,2.6,6F,客室S01,FCU3-601,OHU-6
6F,客室S02,ホテル等,客室,12.6,3.8,2.6,6F,客室S02,FCU3-602,OHU-6
6F,客室S03,ホテル等,客室,12.6,3.8,2.6,6F,客室S03,FCU3-603,OHU-6
6F,客室S04,ホテル等,客室,12.6,3.8,2.6,6F,客室S04,FCU3-604,OHU-6
6F,客室S05,ホテル等,客室,12.6,3.8,2.6,6F,客室S05,FCU3-605,OHU-6
6F,客室S06,ホテル等,客室,12.6,3.8,2.6,6F,客室S06,FCU3-606,OHU-6
6F,客室S07,ホテル等,客室,12.6,3.8,2.6,6F,客室S07,FCU3-607,OHU-6
6F,客室S08,ホテル等,客室,12.6,3.8,2.6,6F,客室S08,FCU3-608,OHU-6
6F,客室S09,ホテル等,客室,12.6,3.8,2.6,6F,客室S09,FCU3-609,OHU-6
6F,客室S10,ホテル等,客室,12.6,3.8,2.6,6F,客室S10,FCU3-610,OHU-6
6F,客室S11,ホテル等,客室,12.6,3.8,2.6,6F,客室S11,FCU3-611,OHU-6
6F,客室S12,ホテル等,客室,12.6,3.8,2.6,6F,客室S12,FCU3-612,OHU-6
6F,客室S13,ホテル等,客室,12.6,3.8,2.6,6F,客室S13,FCU3-613,OHU-6
6F,客室S14,ホテル等,客室,12.6,3.8,2.6,6F,客室S14,FCU3-614,OHU-6
6F,客室S15,ホテル等,客室,12.6,3.8,2.6,6F,客室S15,FCU3-615,OHU-6
6F,客室S16,ホテル等,客室,12.6,3.8,2.6,6F,客室S16,FCU3-616,OHU-6
6F,客室S17,ホテル等,客室,12.6,3.8,2.6,6F,客室S17,FCU3-617,OHU-6
6F,客室S18,ホテル等,客室,12.6,3.8,2.6,6F,客室S18,FCU3-618,OHU-6
6F,客室S19,ホテル等,客室,12.6,3.8,2.6,6F,客室S19,FCU3-619,OHU-6
6F,客室S20,ホテル等,客室,12.6,3.8,2.6,6F,客室S20,FCU3-620,OHU-6
6F,客室S21,ホテル等,客室,12.6,3.8,2.6,6F,客室S21,FCU3-621,OHU-6
6F,客室S22,ホテル等,客室,12.6,3.8,2.6,6F,客室S22,FCU3-622,OHU-6
6F,客室S23,ホテル等,客室,12.6,3.8,2.6,6F,客室S23,FCU3-623,OHU-6
