様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
5F,客室7S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室8S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,4.375016,3.904804,,DL,,60,3,,,,,,
5F,客室9TW_UB,ホテル等,客室（洗面）,3.7403275,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室10S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室11S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室12S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
5F,客室13S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
5F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,2.75994,7.87094,,B50,クリア,50,8,,,,,,
5F,廊下1,ホテル等,廊下（終日）,30.840108,2.95,2.4,,,1,DL,A100,100,9,,,,,,
5F,A避難階段,ホテル等,廊下（終日）,15.01344,2.95,2.4,,,1,FL,6722,20,2,,,,,,
5F,非常用EV乗降ロビー,ホテル等,ロビー（終日）,11.864788,2.95,2.4,3.5777,4.70212,,FL,,64,1,,,,,,
5F,廊下2,ホテル等,廊下（終日）,31.090332,2.95,2.4,,,1,DL,A100,100,7,,,,,,
5F,リネン室,ホテル等,廊下（終日）,8.226114,2.95,2.4,,,1,FL,V,40,1,,,,,,
6F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室1S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室2S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室3S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室4S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室5S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室6S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室7S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室8S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,4.375016,3.904804,,DL,,60,3,,,,,,
6F,客室9TW_UB,ホテル等,客室（洗面）,3.7403275,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室10S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室11S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室12S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
6F,客室13S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
6F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,2.75994,7.87094,,B50,クリア,50,8,,,,,,
6F,廊下1,ホテル等,廊下（終日）,30.840108,2.95,2.4,,,1,DL,A100,100,9,,,,,,
6F,A避難階段,ホテル等,廊下（終日）,15.01344,2.95,2.4,,,1,FL,6722,20,2,,,,,,
6F,非常用EV乗降ロビー,ホテル等,ロビー（終日）,11.864788,2.95,2.4,3.5777,4.70212,,FL,,64,1,,,,,,
6F,廊下2,ホテル等,廊下（終日）,31.090332,2.95,2.4,,,1,DL,A100,100,7,,,,,,
6F,リネン室,ホテル等,廊下（終日）,8.226114,2.95,2.4,,,1,FL,V,40,1,,,,,,
